,0
0,0.0076682726
1,0.010664384
2,0.010266199
3,0.012875148
4,0.00586076
5,0.014910889
6,0.005346413
7,0.0042947764
8,0.0044706827
9,0.0075138416
10,0.013425682
11,0.0075877523
12,0.0064620674
13,0.013183647
14,0.013424416
15,0.0074988035
16,0.0055156862
17,0.010690124
18,0.016528048
19,0.010604925
20,0.009234239
21,0.005558596
22,0.008086195
23,0.012060271
24,0.0058282753
25,0.013521274
26,0.011349052
27,0.010568063
28,0.012007157
29,0.0053046085
30,0.008936969
31,0.0044197515
32,0.010844055
33,0.010383307
34,0.010239569
35,0.005815236
36,0.01030337
37,0.012169634
38,0.0075109927
39,0.012438501
40,0.007628397
41,0.0076715937
42,0.0060891435
43,0.005999814
44,0.0052124728
45,0.0073871817
46,0.011885139
47,0.0067838803
48,0.0048854547
49,0.01342501
50,0.010943896
51,0.005610748
52,0.01209155
53,0.008613539
54,0.019494193
55,0.007742743
56,0.0053426614
57,0.012105261
58,0.005495524
59,0.010098804
60,0.0101463
61,0.011412743
62,0.012196084
63,0.009550337
64,0.0058126627
65,0.012655477
66,0.010336173
67,0.0038095412
68,0.010863169
69,0.0037394247
70,0.008504631
71,0.012344479
72,0.01251438
73,0.0055343835
74,0.016510833
75,0.014353096
76,0.006929069
77,0.011720555
78,0.014729264
79,0.010472839
80,0.011423797
81,0.011343666
82,0.005594014
83,0.005411965
84,0.008935021
85,0.0051349793
86,0.010194522
87,0.0053335363
88,0.013524021
89,0.013910557
90,0.016418586
91,0.0053410614
92,0.013160129
93,0.01094748
94,0.014087192
95,0.0059710573
96,0.010581648
97,0.0119967805
98,0.011298793
99,0.010373759
100,0.010309526
101,0.013402751
102,0.010156007
103,0.0061050784
104,0.008868209
105,0.0049857274
106,0.008257543
107,0.010686011
108,0.013539878
109,0.0064335857
110,0.011425961
111,0.009668341
112,0.017651701
113,0.011095211
114,0.0054933038
115,0.014319026
116,0.011611226
117,0.010152551
118,0.0054880725
119,0.006409536
120,0.0054859016
121,0.007791033
122,0.007816731
123,0.0053682486
124,0.0053992495
125,0.008790604
126,0.010398014
127,0.013910132
128,0.0059965095
129,0.010372915
130,0.009526732
131,0.01018056
132,0.0051221475
133,0.006143381
134,0.012134219
135,0.0020776715
136,0.007814334
137,0.0052917777
138,0.015137847
139,0.01136568
140,0.004751249
141,0.012033478
142,0.00926585
143,0.0062266486
144,0.006068932
145,0.011759696
146,0.01293745
147,0.010942372
148,0.010428407
149,0.0070625553
150,0.0070499294
151,0.008924123
152,0.013675115
153,0.0060464777
154,0.005890713
155,0.019400103
156,0.009812639
157,0.0060589258
158,0.019723361
159,0.0058326786
160,0.0094055375
161,0.006971947
162,0.011192889
163,0.013133167
164,0.010745737
165,0.010638635
166,0.018007312
167,0.010821586
168,0.0053106574
169,0.005979738
170,0.016494935
171,0.008414981
172,0.0068402467
173,0.014900931
174,0.010226977
175,0.014974297
176,0.010791059
177,0.006878541
178,0.009924614
179,0.0146932835
180,0.014973772
181,0.0062938044
182,0.0077816937
183,0.009712427
184,0.00575353
185,0.010379219
186,0.012232739
187,0.010771263
188,0.011348861
189,0.0067056753
190,0.006556903
191,0.0056571374
192,0.013661136
193,0.018621018
194,0.008386886
195,0.0052216435
196,0.024669701
197,0.00704261
198,0.005787053
199,0.006437768
200,0.00990128
201,0.007130311
202,0.0076945936
203,0.009117727
204,0.013447405
205,0.0058183614
206,0.005880066
207,0.013864686
208,0.01352347
209,0.009074754
210,0.0052461782
211,0.010226144
212,0.012662812
213,0.0055129435
214,0.011541612
215,0.010989559
216,0.015915863
217,0.00716024
218,0.019743556
219,0.007890692
220,0.009148857
221,0.008563969
222,0.009973751
223,0.013821938
224,0.013771473
225,0.005504582
226,0.013989608
227,0.005743988
228,0.011619491
229,0.009273741
230,0.0068441397
231,0.010457796
